BAYC ID,MAYC ID,BAKC ID,Clonex ID,Azuki ID,Moonbirds ID,Doodles ID
,16500,,17946,,,
,16556,,18260,,,
,16640,,18378,,,
,16656,,18436,,,
,16658,,18573,,,
,17078,,18574,,,
,17200,,18814,,,
,17525,,18833,,,
,17696,,,,,
,17720,,,,,
,17940,,,,,
,18022,,,,,
,18104,,,,,
,18750,,,,,
,18884,,,,,
,18974,,,,,
,19126,,,,,
,19182,,,,,
,19519,,,,,
,19576,,,,,
,19696,,,,,
,20156,,,,,
,20173,,,,,
,20902,,,,,
,20981,,,,,
,21064,,,,,
,21212,,,,,
,21582,,,,,
,21640,,,,,
,21654,,,,,
,21739,,,,,
,21903,,,,,
,21914,,,,,
,22017,,,,,
,22046,,,,,
,22074,,,,,
,22488,,,,,
,22512,,,,,
,22660,,,,,
,22860,,,,,
,22952,,,,,
,23698,,,,,
,24112,,,,,
,24406,,,,,
,24892,,,,,
,25050,,,,,
,25066,,,,,
,25209,,,,,
,25218,,,,,
,25239,,,,,
,25248,,,,,
,25316,,,,,
,25342,,,,,
,25620,,,,,
,26056,,,,,
,26105,,,,,
,26262,,,,,
,26276,,,,,
,26482,,,,,
,27198,,,,,
,27214,,,,,
,27505,,,,,
,27659,,,,,
,27864,,,,,
,28428,,,,,
,28636,,,,,
,28742,,,,,
,28848,,,,,
,28882,,,,,
,29276,,,,,
,29316,,,,,
,29632,,,,,
,29676,,,,,
,29717,,,,,
